1,0,1,1,16
1,0,1,3,13
1,0,2,10,10
1,0,2,11,10
1,0,2,12,10
1,0,2,14,10
1,0,2,13,10
1,0,2,14,11
1,0,2,12,11
1,0,2,13,11
1,0,2,11,11
1,0,2,10,11
1,0,2,9,10
1,0,2,8,10
1,0,2,8,11
1,0,2,9,11
1,0,2,8,12
1,0,2,9,12
1,0,2,10,12
1,0,2,11,12
1,0,2,12,12
1,0,2,13,12
1,0,2,14,12
1,0,2,16,12
1,0,2,15,12
1,0,2,15,11
1,0,2,15,10
1,0,2,16,10
1,0,2,17,10
1,0,2,18,10
1,0,2,19,10
1,0,2,20,10
1,0,2,20,11
1,0,2,19,11
1,0,2,18,11
1,0,2,17,11
1,0,2,16,11
1,0,2,17,12
1,0,2,18,12
1,0,2,19,12
1,0,2,20,12
1,0,2,20,9
1,0,2,19,9
1,0,2,18,9
1,0,2,17,9
1,0,2,16,9
1,0,2,15,9
1,0,0,14,9
1,0,0,8,9
1,0,0,9,9
1,0,0,10,9
1,0,0,11,9
1,0,0,12,9
1,0,0,13,9
1,0,0,14,8
1,0,0,15,8
1,0,0,16,8
1,0,0,17,8
1,0,0,18,8
1,0,0,19,8
1,0,0,20,8
0,0,3,9,5
0,0,3,10,5
1,0,0,7,9
1,0,2,7,10
1,0,2,7,11
1,0,2,7,12
0,0,3,7,6
0,0,3,7,7
0,0,3,7,8
0,0,3,8,5
0,0,3,11,5
0,0,3,12,7
0,0,3,12,8
0,0,3,12,6
0,0,5,7,5
0,0,5,12,5
0,0,5,9,4
0,0,5,10,4
0,0,4,8,6
0,0,4,11,6
1,0,9,12,8
1,0,6,7,8
1,0,8,12,7
1,0,5,21,7
1,0,5,23,6
1,0,5,25,5
1,0,4,22,7
1,0,4,24,6
1,0,4,26,5
1,0,11,15,7
1,0,10,15,6
1,0,9,17,7
1,0,9,18,7
1,0,8,17,6
1,0,8,18,6
2,0,7,17,7
